time,power_5m,power_10m,power_15m
459.59998,0.0033635471,0.0010869643,0.0004814659
459.8,0.0038172337,0.0007236814,0.00041163852
460,0.0040033595,0.00070584554,0.0005207705
460.2,0.0038828314,0.0010343819,0.0007983554
460.39996,0.0035130726,0.0016462067,0.0011890118
460.59998,0.0029874751,0.0024004797,0.001611089
460.8,0.0024059366,0.0031057112,0.0019823483
461,0.0018886018,0.0035834117,0.0022276738
461.19998,0.0015740752,0.003715595,0.0022718536
461.4,0.0015732324,0.003465065,0.0020584185
461.6,0.0019063624,0.002890294,0.001608933
461.8,0.0024721045,0.0021424363,0.0010583691
462,0.0030842219,0.0014170634,0.00059680635
462.19998,0.003563636,0.0008833673,0.00036260922
462.39996,0.0038155392,0.00064726267,0.00039824855
462.59998,0.0038300173,0.00075656414,0.0006828438
462.8,0.003628766,0.0012053484,0.001157569
463,0.003239169,0.0019166125,0.0017084938
463.2,0.0027211197,0.0027318618,0.0021696638
463.4,0.0021879836,0.0034427065,0.0023958103
463.6,0.0017744042,0.0038605966,0.0023395
463.8,0.0015812626,0.0038825118,0.002046632
463.99997,0.0016510806,0.0035153462,0.0016003805
464.19998,0.0019741515,0.002857886,0.0010973223
464.4,0.0024930076,0.0020663296,0.0006580755
464.59998,0.0031033591,0.0013245919,0.00040627221
464.8,0.0036692375,0.0008132329,0.00040582012
465,0.0040467526,0.00066211843,0.0006289922
465.2,0.00411208,0.00090278895,0.0009909282
465.39996,0.0038106577,0.0014597826,0.001395395
465.59998,0.0032123723,0.0021895245,0.0017458565
465.8,0.0025049574,0.0029274616,0.0019483139
466,0.0018981142,0.0035123357,0.0019407489
466.19998,0.0015258001,0.003806264,0.001727873
466.4,0.001444214,0.003734154,0.0013777923
466.6,0.0016803158,0.0033168094,0.0009853025
466.8,0.0022177976,0.0026595553,0.00063960545
467,0.0029361614,0.0019129638,0.00041137694
467.19998,0.003614766,0.001246836,0.00034709435
467.39996,0.004033163,0.0008307672,0.00046224135
467.59998,0.004079624,0.0007838002,0.00073423877
467.8,0.0037770744,0.0011133673,0.0010983358
468,0.003237904,0.0017132624,0.0014557675
468.2,0.0026108953,0.002423993,0.001703727
468.4,0.0020415855,0.0030803515,0.0017728988
468.6,0.0016426796,0.003520639,0.0016446606
468.8,0.0014850724,0.0036160843,0.0013477819
468.99997,0.0016059221,0.003338791,0.0009592095
469.19998,0.0019981738,0.0027872855,0.0005991049
469.4,0.002577385,0.002119923,0.00038080596
469.59998,0.003182558,0.0014764473,0.0003396939
469.8,0.0036445367,0.0009729676,0.00042833888
470,0.003865878,0.00072638656,0.0005853097
470.2,0.0038306818,0.00082104665,0.0007827345
470.39996,0.003557182,0.0012401162,0.0010026622
470.59998,0.0030837986,0.0018614307,0.0011958436
470.8,0.0025050854,0.0025238146,0.001294678
471,0.0019778367,0.00307639,0.0012685102
471.19998,0.0016574225,0.0033884062,0.0011410079
471.4,0.0016211142,0.0033748522,0.0009534254
471.6,0.0018524816,0.0030412176,0.0007392933
471.8,0.0022851285,0.0024844315,0.0005357361
472,0.0028359354,0.0018434462,0.0003890187
472.19998,0.003394455,0.001262694,0.0003329572
472.39996,0.0038146162,0.0008805304,0.00037417482
472.59998,0.0039594597,0.0007946013,0.00050202326
472.8,0.0037795375,0.0010129057,0.00069486065
473,0.003349231,0.0014586151,0.0009127951
473.2,0.002819136,0.0020250909,0.0011041937
473.4,0.002332822,0.0026016939,0.0012299299
473.6,0.0019859695,0.0030573213,0.0012701445
473.8,0.001838818,0.003257856,0.0012080048
473.99997,0.0019292947,0.0031379685,0.0010335592
474.19998,0.002252401,0.002740715,0.0007785269
474.4,0.0027334993,0.0021767367,0.00052454177
474.59998,0.0032419572,0.0015720802,0.0003553171
474.8,0.0036440813,0.0010613664,0.00031368987
475,0.0038497378,0.00078260514,0.00041124583
475.2,0.003825243,0.0008287451,0.0006468201
475.39996,0.0035900348,0.001197097,0.0009874706
475.59998,0.0032117048,0.0017889654,0.001345575
475.8,0.0027826007,0.0024435725,0.0016071677
476,0.0023827562,0.0029796376,0.0016906601
476.19998,0.0020738537,0.003254168,0.0015764035
476.4,0.0019313301,0.0032187188,0.0013030528
476.6,0.0020425639,0.0029148331,0.0009548651
476.8,0.002433211,0.0024188568,0.00063203205
477,0.0030055947,0.0018205852,0.00040825162
477.19998,0.0035789437,0.0012562823,0.00031808458
477.39996,0.003992342,0.00090519316,0.00038041794
477.59998,0.004160152,0.0008958555,0.0006058876
477.8,0.004055105,0.001221329,0.0009623893
478,0.0036950943,0.0017660111,0.0013548832
478.2,0.0031627736,0.0023855916,0.0016701071
478.4,0.0025995995,0.0029388817,0.0018345419
478.6,0.002155562,0.00328807,0.0018209859
478.8,0.0019486151,0.0033322931,0.0016333795
478.99997,0.0020512904,0.0030577367,0.0013145488
479.19998,0.0024585119,0.0025441644,0.00094780873
479.4,0.0030464602,0.0019285751,0.000622172
479.59998,0.0036064112,0.0013673839,0.00040474677
479.8,0.003967912,0.0010024707,0.0003526698
480,0.0040820437,0.000921293,0.0005118728
480.2,0.003971697,0.0011375032,0.00086565263
480.39996,0.0036592903,0.0016070657,0.0013070105
480.59998,0.0031876983,0.0022409987,0.0017037282
480.8,0.0026666878,0.0028935298,0.0019757461
481,0.0022446013,0.003376342,0.0020852962
481.19998,0.0020367722,0.0035384763,0.0019930908
481.4,0.0020951533,0.0033474537,0.0016841744
481.6,0.0024176226,0.0028832494,0.0012341993
481.8,0.0029394634,0.002269079,0.00079630595
482,0.003522864,0.0016306726,0.0005032144
482.19998,0.004005512,0.0011041814,0.00040508452
482.39996,0.0042771865,0.000835578,0.0004887596
482.59998,0.00429423,0.0009317059,0.0007145853
482.8,0.004047068,0.0013922643,0.0010335203
483,0.0035737595,0.0020856052,0.0013957364
483.2,0.0030043446,0.0028026663,0.0017466841
483.4,0.002528056,0.0033570938,0.0020074835
483.6,0.0022750078,0.0036506234,0.002082764
483.8,0.002253253,0.0036572092,0.0019225747
483.99997,0.0024219675,0.003373812,0.0015734344
484.19998,0.0027692707,0.002822273,0.001147861
484.4,0.0032692673,0.002106266,0.0007580344
484.59998,0.0038075056,0.001429308,0.00049549225
484.8,0.004207775,0.0010118567,0.0004369292
485,0.004342712,0.0009779964,0.0006119681
485.2,0.0042016804,0.0013205246,0.000964515
485.39996,0.0038476826,0.0019418866,0.0013804022
485.59998,0.0033453377,0.002694652,0.0017506451
485.8,0.0027661433,0.0033996408,0.00199517
486,0.002235888,0.0038755839,0.0020583344
486.19998,0.0019196962,0.00399007,0.001923827
486.4,0.0019357542,0.0037039956,0.0016293324
486.6,0.0022773002,0.003089319,0.0012442545
486.8,0.0028165097,0.002316972,0.00084370957
487,0.0033907436,0.0016063029,0.0005168079
487.19998,0.0038837534,0.001145167,0.0003674131
487.39996,0.004221383,0.0010284258,0.0004600524
487.59998,0.0043266993,0.0012544375,0.0007637538
487.8,0.004131844,0.001757627,0.0011744562
488,0.0036467777,0.0024323238,0.0015818577
488.2,0.0030019884,0.003138366,0.0018961016
488.4,0.002410133,0.0037098282,0.0020419753
488.6,0.0020665221,0.0039878557,0.0019762772
488.8,0.002059816,0.003879475,0.0017176978
488.99997,0.002355529,0.003408578,0.0013414472
489.19998,0.0028485004,0.0027106456,0.0009437162
489.4,0.003422127,0.0019688418,0.000614046
489.59998,0.0039635208,0.0013505933,0.0004200844
489.8,0.004349119,0.0009900341,0.00039511512
490,0.0044571506,0.0009875625,0.00054132496
490.2,0.0042300415,0.0013759974,0.0008432898
490.39996,0.0037380548,0.0020703182,0.0012575195
490.59998,0.0031589742,0.0028715904,0.0016866479
490.8,0.0026646312,0.0035474426,0.0020000695
491,0.0023342092,0.0039265715,0.0021073597
491.19998,0.0021909855,0.003939964,0.0019979351
491.4,0.002280459,0.0036063911,0.0017102078
491.6,0.0026537841,0.0030050213,0.0013037219
491.8,0.0032714459,0.0022651295,0.0008728144
492,0.0039571607,0.0015612582,0.0005374792
492.19998,0.0044747274,0.0010778073,0.00038281642
492.39996,0.004663719,0.00093816395,0.0004258425
492.59998,0.004506599,0.0011537091,0.0006457477
492.8,0.0040884167,0.0016410989,0.0010045533
493,0.0035298695,0.002275034,0.0014230668
493.2,0.0029612195,0.0029144557,0.0017804785
493.4,0.0025187337,0.0034079046,0.0019770511
493.6,0.0023254673,0.0036276411,0.0019828058
493.8,0.0024485455,0.0035263805,0.0018145177
493.99997,0.0028522504,0.0031505858,0.0015035211
494.19998,0.0033933849,0.0025974328,0.001109173
494.4,0.003899119,0.0019785922,0.000728924
494.59998,0.0042726328,0.0014223807,0.00045845378
494.8,0.0045002177,0.001066634,0.00034931046
495,0.0045578913,0.0010129047,0.00041058767
495.2,0.0043770033,0.001282278,0.000623453
495.39996,0.00393775,0.0018106294,0.0009409017
495.59998,0.0033623928,0.0024658884,0.0012993221
495.8,0.002859782,0.0030708138,0.0016449217
496,0.0025648423,0.0034506696,0.0019286427
496.19998,0.0024832964,0.0035021005,0.0020740195
496.4,0.0025923077,0.003231228,0.001990638
496.6,0.0029007164,0.0027295763,0.0016562024
496.8,0.0033819887,0.002122036,0.0011708292
497,0.0039143167,0.0015355186,0.00070074666
497.19998,0.0043259235,0.0010938889,0.00038277524
497.39996,0.0044920426,0.0009076813,0.00029124765
497.59998,0.0043867356,0.0010365816,0.0004494232
497.8,0.004062909,0.0014433418,0.00082683295
498,0.0036039266,0.0019956748,0.0013280134
498.2,0.0030967272,0.00253734,0.0018085111
498.4,0.0026424555,0.0029578845,0.002122984
498.6,0.0023633146,0.0031918932,0.0021848641
498.8,0.0023534761,0.0031832429,0.0020032923
498.99997,0.0026062932,0.002896504,0.0016605445
499.19998,0.0030189243,0.0023741918,0.0012465451
499.4,0.0034833152,0.00175357,0.0008272659
499.59998,0.003932616,0.001208591,0.00047633157
499.8,0.0042860573,0.000880458,0.00029604742
500,0.004425327,0.0008416113,0.00035918495
500.2,0.0042834417,0.0010803333,0.0006411852
500.39996,0.003916165,0.0015155787,0.0010464499
500.59998,0.0034384062,0.0020542487,0.0014776026
500.8,0.0029345946,0.0026256063,0.0018455887
501,0.0024835018,0.0031347463,0.002052115
